month_year,geocod,geodsg,dim_3,dim_3_t,valor
Janeiro de 2017,11,Norte,T,Total,406014
Fevereiro de 2017,11,Norte,T,Total,453177
Março de 2017,11,Norte,T,Total,554730
Abril de 2017,11,Norte,T,Total,800643
Maio de 2017,11,Norte,T,Total,809927
Junho de 2017,11,Norte,T,Total,859677
Julho de 2017,11,Norte,T,Total,976597
Agosto de 2017,11,Norte,T,Total,1205153
Setembro de 2017,11,Norte,T,Total,976846
Outubro de 2017,11,Norte,T,Total,838460
Novembro de 2017,11,Norte,T,Total,552908
Dezembro de 2017,11,Norte,T,Total,574714
Janeiro de 2018,11,Norte,T,Total,448867
Fevereiro de 2018,11,Norte,T,Total,505884
Março de 2018,11,Norte,T,Total,677600
Abril de 2018,11,Norte,T,Total,784760
Maio de 2018,11,Norte,T,Total,910431
Junho de 2018,11,Norte,T,Total,915301
Julho de 2018,11,Norte,T,Total,1027991
Agosto de 2018,11,Norte,T,Total,1299532
Setembro de 2018,11,Norte,T,Total,1045460
Outubro de 2018,11,Norte,T,Total,925125
Novembro de 2018,11,Norte,T,Total,643384
Dezembro de 2018,11,Norte,T,Total,593682
Janeiro de 2019,11,Norte,T,Total,506234
Fevereiro de 2019,11,Norte,T,Total,527872
Março de 2019,11,Norte,T,Total,720805
Abril de 2019,11,Norte,T,Total,916002
Maio de 2019,11,Norte,T,Total,1003703
Junho de 2019,11,Norte,T,Total,1041697
Julho de 2019,11,Norte,T,Total,1171400
Agosto de 2019,11,Norte,T,Total,1410095
Setembro de 2019,11,Norte,T,Total,1144562
Outubro de 2019,11,Norte,T,Total,994052
Novembro de 2019,11,Norte,T,Total,713057
Dezembro de 2019,11,Norte,T,Total,661233
Janeiro de 2020,11,Norte,T,Total,578609
Fevereiro de 2020,11,Norte,T,Total,625285
Março de 2020,11,Norte,T,Total,265615
Abril de 2020,11,Norte,T,Total,30274
Maio de 2020,11,Norte,T,Total,70636
Junho de 2020,11,Norte,T,Total,203890
Julho de 2020,11,Norte,T,Total,466450
Agosto de 2020,11,Norte,T,Total,835671
Setembro de 2020,11,Norte,T,Total,557919
Outubro de 2020,11,Norte,T,Total,397645
Novembro de 2020,11,Norte,T,Total,160674
Dezembro de 2020,11,Norte,T,Total,173388
Janeiro de 2021,11,Norte,T,Total,134458
Fevereiro de 2021,11,Norte,T,Total,98480
Março de 2021,11,Norte,T,Total,124151
Abril de 2021,11,Norte,T,Total,182065
Maio de 2021,11,Norte,T,Total,395133
Junho de 2021,11,Norte,T,Total,525623
Julho de 2021,11,Norte,T,Total,697914
Agosto de 2021,11,Norte,T,Total,1131753
Setembro de 2021,11,Norte,T,Total,835537
Outubro de 2021,11,Norte,T,Total,886795
Novembro de 2021,11,Norte,T,Total,624508
Dezembro de 2021,11,Norte,T,Total,505650
Janeiro de 2022,11,Norte,T,Total,347052
Fevereiro de 2022,11,Norte,T,Total,525143
Março de 2022,11,Norte,T,Total,664922
Abril de 2022,11,Norte,T,Total,1007139
Maio de 2022,11,Norte,T,Total,1069023
Junho de 2022,11,Norte,T,Total,1110295
Julho de 2022,11,Norte,T,Total,1340013
Agosto de 2022,11,Norte,T,Total,1641848
Setembro de 2022,11,Norte,T,Total,1245424
Outubro de 2022,11,Norte,T,Total,1127059
Novembro de 2022,11,Norte,T,Total,739381
Dezembro de 2022,11,Norte,T,Total,739346
Janeiro de 2023,11,Norte,T,Total,606353
Fevereiro de 2023,11,Norte,T,Total,693443
Março de 2023,11,Norte,T,Total,860701
Abril de 2023,11,Norte,T,Total,1195547
Maio de 2023,11,Norte,T,Total,1233214
Junho de 2023,11,Norte,T,Total,1222019
Julho de 2023,11,Norte,T,Total,1432163
Agosto de 2023,11,Norte,T,Total,1731186
Setembro de 2023,11,Norte,T,Total,1417746
Outubro de 2023,11,Norte,T,Total,1259783
Novembro de 2023,11,Norte,T,Total,807840
Dezembro de 2023,11,Norte,T,Total,820956
Janeiro de 2024,11,Norte,T,Total,631211
Fevereiro de 2024,11,Norte,T,Total,752726
