date,confianca_consumidor,sentimento_economico,volume_retalho_alimentar,desemprego,ipc_alimentos,ihpc_alimentos,gastos_turistas
2017-01-31,-10.1,107.6,107.2,10.3,105.1,101.93,732.46
2017-02-28,-9.9,108.3,107.5,10,104.962,101.81,676.8
2017-03-31,-8.1,108.5,109.9,9.9,105.278,102.11,884.36
2017-04-30,-7.4,108.9,109.1,9.7,105.567,102.39,1172.46
2017-05-31,-5.7,111.1,107.1,9.5,106.066,102.88,1254.78
2017-06-30,-3.4,110,110,9.4,105.39,102.22,1319.32
2017-07-31,-2.6,111.8,109.1,9.2,105.768,102.59,1990.85
2017-08-31,-4.8,109.4,106.9,9,106.023,102.83,2649.43
2017-09-30,-4,112,109.5,8.8,106.144,102.95,1775.1
2017-10-31,-2.5,112.7,107.6,8.6,105.969,102.78,1346.31
2017-11-30,-1.6,113.1,109.4,8.2,106.43,103.23,856.04
2017-12-31,-3.6,112.8,108.1,8.1,106.225,103.03,892.47
2018-01-31,-4.9,112,106.5,8,106.764,103.55,850.41
2018-02-28,-3.4,111.8,107.3,7.7,105.483,102.31,776.89
2018-03-31,-3.7,110.7,108.9,7.6,105.738,102.55,1059.11
2018-04-30,-3.4,108.9,105.4,7.3,106.751,103.52,1228.67
2018-05-31,-2.9,110.1,107.9,7.2,107.061,103.83,1472.55
2018-06-30,-4.5,112.2,106.3,7,106.957,103.72,1454.83
2018-07-31,-5,111.9,106.3,7,107.299,104.05,2170.94
2018-08-31,-5.2,111.4,106,7.1,107.214,103.97,2851.74
2018-09-30,-4.6,110.4,104.4,6.8,107.241,104,1874.96
2018-10-31,-4.7,108.9,106.2,6.8,106.748,103.53,1455.62
2018-11-30,-4.5,109.7,104,6.8,107.033,103.81,905.09
2018-12-31,-6.6,111.6,104.9,6.7,106.918,103.7,952.73
2019-01-31,-8.2,111.3,105.4,6.7,107.374,104.14,921.77
2019-02-28,-9.1,110.3,105.8,6.6,107.025,103.81,837.69
2019-03-31,-10.9,107.6,106.3,6.6,107.271,104.05,1117.25
2019-04-30,-8,107.5,108.3,6.7,106.962,103.74,1381.15
2019-05-31,-9.7,108.1,107.4,6.7,107.541,104.31,1560.28
2019-06-30,-9.2,109,106.4,6.7,107.612,104.38,1578.09
2019-07-31,-7.3,107.3,108.3,6.6,107.602,104.36,2283.56
2019-08-31,-8.3,107.6,110,6.5,107.457,104.22,2982.98
2019-09-30,-8.6,107,107.4,6.7,107.453,104.23,2026.98
2019-10-31,-7.6,107.1,107.9,6.6,107.462,104.23,1554.47
2019-11-30,-6.2,108.2,107.7,6.8,107.659,104.42,986.06
2019-12-31,-8.3,105.3,108.4,6.8,107.211,103.97,1060.71
2020-01-31,-8.4,107.2,109.1,6.9,108.424,105.14,991.02
2020-02-29,-6.8,106.2,111,6.6,107.951,104.7,954.82
2020-03-31,-12.4,99.4,106.6,6.3,108.571,105.29,606.48
2020-04-30,-36.3,69.9,80.8,6.4,110.485,107.12,179.73
2020-05-31,-29.8,66.2,85,6,109.529,106.19,230.79
2020-06-30,-25.5,76.7,90.5,7.5,110.664,107.28,316.33
2020-07-31,-27.6,86.8,91.5,8,109.893,106.55,791.85
2020-08-31,-26.2,87.8,93.5,8.2,109.482,106.16,1358.57
2020-09-30,-28.6,88.9,96.1,8,109.25,105.94,794.26
2020-10-31,-27.3,90.3,94.9,7.6,109.655,106.33,596.09
2020-11-30,-30.8,86.3,97.3,7.2,109.61,106.28,378.94
2020-12-31,-27,87.8,100.4,6.9,108.82,105.51,517.56
2021-01-31,-26.1,87.4,97.5,7,109.507,106.18,356.25
2021-02-28,-28,85.5,96.8,7,108.841,105.54,221.03
2021-03-31,-22.4,93.1,97.2,6.8,109.287,105.97,265.16
2021-04-30,-14.6,104,97.3,7.1,109.968,106.62,323.6
2021-05-31,-12.8,111.4,98.9,7.2,110.293,106.94,543.74
2021-06-30,-13.8,110.6,98.3,7,110.541,107.17,687.39
2021-07-31,-17.3,104.8,96.8,6.7,110.71,107.34,1153.43
2021-08-31,-12.9,106.3,99.8,6.4,110.32,106.96,2070.07
2021-09-30,-11.4,107.1,100.8,6.4,110.035,106.69,1381.28
